location,location_name,population
AUT,Austria,8901100
BEL,Belgium,11549900
BGR,Bulgaria,6951500
HRV,Croatia,4058200
CYP,Cyprus,888000
CZE,Czechia,10693900
DNK,Denmark,5822800
EST,Estonia,1329000
FIN,Finland,5525300
FRA,France,67098800
DEU,Germany,83166700
GRC,Greece,10709700
HUN,Hungary,9769500
ISL,Iceland,364100
IRL,Ireland,4963800
ITA,Italy,60244600
LVA,Latvia,1907700
LIE,Liechtenstein,38700
LTU,Lithuania,2794100
LUX,Luxembourg,626100
MLT,Malta,514600
NLD,Netherlands,17407600
NOR,Norway,5367600
POL,Poland,37958100
PRT,Portugal,10295900
ROU,Romania,19318000
SVK,Slovakia,5457900
SVN,Slovenia,2095900
ESP,Spain,47330000
SWE,Sweden,10327600
CHE,Switzerland,8606000
GBR,United Kingdom,67025500
